UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,time_step,window_id
498,L47677,L,297.4,309.0,1505,39.2,209,0,0,0,0,0,0,2,99
499,L47678,L,297.5,309.1,1611,30.2,211,0,0,0,0,0,0,3,99
500,L47679,L,297.5,309.1,1515,35.1,213,0,0,0,0,0,0,4,99
501,M15360,M,297.5,309.2,1804,27.4,215,0,0,0,0,0,0,5,99
502,M15361,M,297.6,309.3,1464,46.2,218,0,0,0,0,0,0,6,99
503,L47682,L,297.6,309.2,1390,43.3,221,0,0,0,0,0,0,7,99
504,M15363,M,297.6,309.2,1442,48.1,0,0,0,0,0,0,0,8,99
505,M15364,M,297.6,309.3,1529,41.9,3,0,0,0,0,0,0,9,99
501,M15360,M,297.5,309.2,1804,27.4,215,0,0,0,0,0,0,0,100
502,M15361,M,297.6,309.3,1464,46.2,218,0,0,0,0,0,0,1,100
503,L47682,L,297.6,309.2,1390,43.3,221,0,0,0,0,0,0,2,100
504,M15363,M,297.6,309.2,1442,48.1,0,0,0,0,0,0,0,3,100
505,M15364,M,297.6,309.3,1529,41.9,3,0,0,0,0,0,0,4,100
506,L47685,L,297.6,309.3,1610,35.0,6,0,0,0,0,0,0,5,100
507,L47686,L,297.6,309.3,1543,34.3,8,0,0,0,0,0,0,6,100
508,H29921,H,297.8,309.4,1445,48.2,10,0,0,0,0,0,0,7,100
509,L47688,L,297.7,309.3,1893,24.6,15,0,0,0,0,0,0,8,100
510,M15369,M,297.6,309.3,1415,41.3,17,0,0,0,0,0,0,9,100
506,L47685,L,297.6,309.3,1610,35.0,6,0,0,0,0,0,0,0,101
507,L47686,L,297.6,309.3,1543,34.3,8,0,0,0,0,0,0,1,101
508,H29921,H,297.8,309.4,1445,48.2,10,0,0,0,0,0,0,2,101
509,L47688,L,297.7,309.3,1893,24.6,15,0,0,0,0,0,0,3,101
510,M15369,M,297.6,309.3,1415,41.3,17,0,0,0,0,0,0,4,101
511,L47690,L,297.5,309.3,1564,37.5,20,0,0,0,0,0,0,5,101
512,L47691,L,297.5,309.3,1479,39.4,22,0,0,0,0,0,0,6,101
513,L47692,L,297.5,309.2,1426,44.8,24,0,0,0,0,0,0,7,101
514,L47693,L,297.4,309.2,1428,38.8,26,0,0,0,0,0,0,8,101
515,L47694,L,297.4,309.2,1620,33.2,28,0,0,0,0,0,0,9,101
511,L47690,L,297.5,309.3,1564,37.5,20,0,0,0,0,0,0,0,102
512,L47691,L,297.5,309.3,1479,39.4,22,0,0,0,0,0,0,1,102
513,L47692,L,297.5,309.2,1426,44.8,24,0,0,0,0,0,0,2,102
514,L47693,L,297.4,309.2,1428,38.8,26,0,0,0,0,0,0,3,102
515,L47694,L,297.4,309.2,1620,33.2,28,0,0,0,0,0,0,4,102
516,L47695,L,297.5,309.2,1715,28.0,30,0,0,0,0,0,0,5,102
517,L47696,L,297.5,309.3,1732,29.9,32,0,0,0,0,0,0,6,102
518,M15377,M,297.5,309.4,1391,58.2,34,0,0,0,0,0,0,7,102
519,L47698,L,297.6,309.5,1924,20.6,37,0,0,0,0,0,0,8,102
520,M15379,M,297.7,309.5,2027,19.8,39,0,0,0,0,0,0,9,102
516,L47695,L,297.5,309.2,1715,28.0,30,0,0,0,0,0,0,0,103
517,L47696,L,297.5,309.3,1732,29.9,32,0,0,0,0,0,0,1,103
518,M15377,M,297.5,309.4,1391,58.2,34,0,0,0,0,0,0,2,103
519,L47698,L,297.6,309.5,1924,20.6,37,0,0,0,0,0,0,3,103
520,M15379,M,297.7,309.5,2027,19.8,39,0,0,0,0,0,0,4,103
521,L47700,L,297.6,309.5,1617,36.2,42,0,0,0,0,0,0,5,103
522,L47701,L,297.5,309.4,1497,35.8,44,0,0,0,0,0,0,6,103
523,M15382,M,297.5,309.5,1448,43.7,46,0,0,0,0,0,0,7,103
524,L47703,L,297.4,309.4,1401,45.9,49,0,0,0,0,0,0,8,103
525,L47704,L,297.4,309.4,1620,35.4,51,0,0,0,0,0,0,9,103
521,L47700,L,297.6,309.5,1617,36.2,42,0,0,0,0,0,0,0,104
522,L47701,L,297.5,309.4,1497,35.8,44,0,0,0,0,0,0,1,104
523,M15382,M,297.5,309.5,1448,43.7,46,0,0,0,0,0,0,2,104
524,L47703,L,297.4,309.4,1401,45.9,49,0,0,0,0,0,0,3,104
525,L47704,L,297.4,309.4,1620,35.4,51,0,0,0,0,0,0,4,104
526,L47705,L,297.4,309.4,1466,45.5,53,0,0,0,0,0,0,5,104
527,L47706,L,297.6,309.5,1373,50.6,55,0,0,0,0,0,0,6,104
528,M15387,M,297.6,309.6,1592,35.8,57,0,0,0,0,0,0,7,104
529,M15388,M,297.5,309.5,1553,42.4,60,0,0,0,0,0,0,8,104
530,L47709,L,297.6,309.5,1569,36.2,63,0,0,0,0,0,0,9,104
526,L47705,L,297.4,309.4,1466,45.5,53,0,0,0,0,0,0,0,105
527,L47706,L,297.6,309.5,1373,50.6,55,0,0,0,0,0,0,1,105
528,M15387,M,297.6,309.6,1592,35.8,57,0,0,0,0,0,0,2,105
529,M15388,M,297.5,309.5,1553,42.4,60,0,0,0,0,0,0,3,105
530,L47709,L,297.6,309.5,1569,36.2,63,0,0,0,0,0,0,4,105
531,M15390,M,297.6,309.5,1709,32.2,65,0,0,0,0,0,0,5,105
532,L47711,L,297.6,309.5,1549,34.9,68,0,0,0,0,0,0,6,105
533,L47712,L,297.5,309.4,1443,45.4,70,0,0,0,0,0,0,7,105
534,L47713,L,297.5,309.3,1675,29.8,72,0,0,0,0,0,0,8,105
535,L47714,L,297.5,309.3,1623,33.4,74,0,0,0,0,0,0,9,105
531,M15390,M,297.6,309.5,1709,32.2,65,0,0,0,0,0,0,0,106
532,L47711,L,297.6,309.5,1549,34.9,68,0,0,0,0,0,0,1,106
533,L47712,L,297.5,309.4,1443,45.4,70,0,0,0,0,0,0,2,106
534,L47713,L,297.5,309.3,1675,29.8,72,0,0,0,0,0,0,3,106
535,L47714,L,297.5,309.3,1623,33.4,74,0,0,0,0,0,0,4,106
536,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0,5,106
537,L47716,L,297.4,309.3,1759,24.8,81,0,0,0,0,0,0,6,106
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0,7,106
539,M15398,M,297.4,309.3,1499,36.8,88,0,0,0,0,0,0,8,106
540,M15399,M,297.4,309.3,1775,25.8,91,0,0,0,0,0,0,9,106
536,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0,0,107
537,L47716,L,297.4,309.3,1759,24.8,81,0,0,0,0,0,0,1,107
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0,2,107
539,M15398,M,297.4,309.3,1499,36.8,88,0,0,0,0,0,0,3,107
540,M15399,M,297.4,309.3,1775,25.8,91,0,0,0,0,0,0,4,107
541,L47720,L,297.4,309.4,1473,45.5,94,0,0,0,0,0,0,5,107
542,L47721,L,297.4,309.4,1296,52.3,96,0,0,0,0,0,0,6,107
543,L47722,L,297.5,309.4,1803,24.7,98,0,0,0,0,0,0,7,107
544,H29957,H,297.5,309.3,1563,36.1,100,0,0,0,0,0,0,8,107
545,M15404,M,297.5,309.4,1831,26.6,105,0,0,0,0,0,0,9,107
541,L47720,L,297.4,309.4,1473,45.5,94,0,0,0,0,0,0,0,108
542,L47721,L,297.4,309.4,1296,52.3,96,0,0,0,0,0,0,1,108
543,L47722,L,297.5,309.4,1803,24.7,98,0,0,0,0,0,0,2,108
544,H29957,H,297.5,309.3,1563,36.1,100,0,0,0,0,0,0,3,108
545,M15404,M,297.5,309.4,1831,26.6,105,0,0,0,0,0,0,4,108
546,L47725,L,297.6,309.4,1958,22.1,108,0,0,0,0,0,0,5,108
547,L47726,L,297.5,309.4,1809,24.3,110,0,0,0,0,0,0,6,108
548,M15407,M,297.5,309.4,1482,39.3,112,0,0,0,0,0,0,7,108
549,L47728,L,297.4,309.3,1332,53.2,115,0,0,0,0,0,0,8,108
550,L47729,L,297.4,309.2,1437,40.4,117,0,0,0,0,0,0,9,108
546,L47725,L,297.6,309.4,1958,22.1,108,0,0,0,0,0,0,0,109
547,L47726,L,297.5,309.4,1809,24.3,110,0,0,0,0,0,0,1,109
548,M15407,M,297.5,309.4,1482,39.3,112,0,0,0,0,0,0,2,109
549,L47728,L,297.4,309.3,1332,53.2,115,0,0,0,0,0,0,3,109
550,L47729,L,297.4,309.2,1437,40.4,117,0,0,0,0,0,0,4,109
551,L47730,L,297.4,309.2,1698,29.4,119,0,0,0,0,0,0,5,109
552,L47731,L,297.4,309.2,1274,54.3,121,0,0,0,0,0,0,6,109
553,M15412,M,297.4,309.3,1622,35.0,123,0,0,0,0,0,0,7,109
554,M15413,M,297.4,309.3,1564,36.0,126,0,0,0,0,0,0,8,109
555,H29968,H,297.5,309.4,1368,45.3,129,0,0,0,0,0,0,9,109
551,L47730,L,297.4,309.2,1698,29.4,119,0,0,0,0,0,0,0,110
552,L47731,L,297.4,309.2,1274,54.3,121,0,0,0,0,0,0,1,110
553,M15412,M,297.4,309.3,1622,35.0,123,0,0,0,0,0,0,2,110
554,M15413,M,297.4,309.3,1564,36.0,126,0,0,0,0,0,0,3,110
555,H29968,H,297.5,309.4,1368,45.3,129,0,0,0,0,0,0,4,110
556,M15415,M,297.4,309.4,1539,42.2,134,0,0,0,0,0,0,5,110
557,L47736,L,297.5,309.4,1357,50.1,137,0,0,0,0,0,0,6,110
558,M15417,M,297.5,309.4,1433,48.3,139,0,0,0,0,0,0,7,110
559,L47738,L,297.5,309.4,1650,34.6,142,0,0,0,0,0,0,8,110
560,L47739,L,297.5,309.4,1503,40.6,144,0,0,0,0,0,0,9,110
556,M15415,M,297.4,309.4,1539,42.2,134,0,0,0,0,0,0,0,111
557,L47736,L,297.5,309.4,1357,50.1,137,0,0,0,0,0,0,1,111
558,M15417,M,297.5,309.4,1433,48.3,139,0,0,0,0,0,0,2,111
559,L47738,L,297.5,309.4,1650,34.6,142,0,0,0,0,0,0,3,111
560,L47739,L,297.5,309.4,1503,40.6,144,0,0,0,0,0,0,4,111
561,L47740,L,297.5,309.4,1318,58.2,146,0,0,0,0,0,0,5,111
562,M15421,M,297.5,309.4,1678,34.4,148,0,0,0,0,0,0,6,111
563,L47742,L,297.6,309.5,1574,30.9,151,0,0,0,0,0,0,7,111
564,L47743,L,297.7,309.6,1529,35.2,153,0,0,0,0,0,0,8,111
565,H29978,H,297.6,309.6,1669,32.1,155,0,0,0,0,0,0,9,111
561,L47740,L,297.5,309.4,1318,58.2,146,0,0,0,0,0,0,0,112
562,M15421,M,297.5,309.4,1678,34.4,148,0,0,0,0,0,0,1,112
563,L47742,L,297.6,309.5,1574,30.9,151,0,0,0,0,0,0,2,112
564,L47743,L,297.7,309.6,1529,35.2,153,0,0,0,0,0,0,3,112
565,H29978,H,297.6,309.6,1669,32.1,155,0,0,0,0,0,0,4,112
566,H29979,H,297.7,309.7,1570,35.8,160,0,0,0,0,0,0,5,112
567,M15426,M,297.6,309.7,1541,33.7,165,0,0,0,0,0,0,6,112
568,M15427,M,297.7,309.7,1680,30.2,168,0,0,0,0,0,0,7,112
569,L47748,L,297.8,309.7,1935,22.1,171,0,0,0,0,0,0,8,112
570,M15429,M,297.7,309.6,1596,35.2,173,0,0,0,0,0,0,9,112
566,H29979,H,297.7,309.7,1570,35.8,160,0,0,0,0,0,0,0,113
567,M15426,M,297.6,309.7,1541,33.7,165,0,0,0,0,0,0,1,113
568,M15427,M,297.7,309.7,1680,30.2,168,0,0,0,0,0,0,2,113
569,L47748,L,297.8,309.7,1935,22.1,171,0,0,0,0,0,0,3,113
570,M15429,M,297.7,309.6,1596,35.2,173,0,0,0,0,0,0,4,113
571,L47750,L,297.7,309.7,1498,41.0,176,0,0,0,0,0,0,5,113
572,M15431,M,297.8,309.8,1676,29.0,178,0,0,0,0,0,0,6,113
573,L47752,L,297.8,309.9,1351,49.0,181,0,0,0,0,0,0,7,113
574,L47753,L,297.9,309.9,1472,45.0,183,0,0,0,0,0,0,8,113
575,M15434,M,297.9,310.0,1439,41.7,185,0,0,0,0,0,0,9,113
571,L47750,L,297.7,309.7,1498,41.0,176,0,0,0,0,0,0,0,114
572,M15431,M,297.8,309.8,1676,29.0,178,0,0,0,0,0,0,1,114
573,L47752,L,297.8,309.9,1351,49.0,181,0,0,0,0,0,0,2,114
574,L47753,L,297.9,309.9,1472,45.0,183,0,0,0,0,0,0,3,114
575,M15434,M,297.9,310.0,1439,41.7,185,0,0,0,0,0,0,4,114
576,M15435,M,297.9,309.9,1410,55.4,188,0,0,0,0,0,0,5,114
577,H29990,H,297.7,309.7,1440,51.1,191,0,0,0,0,0,0,6,114
578,L47757,L,297.7,309.7,1591,37.7,196,0,0,0,0,0,0,7,114
579,L47758,L,297.8,309.8,1533,36.8,198,0,0,0,0,0,0,8,114
580,M15439,M,297.8,309.7,1700,31.3,200,0,0,0,0,0,0,9,114
576,M15435,M,297.9,309.9,1410,55.4,188,0,0,0,0,0,0,0,115
577,H29990,H,297.7,309.7,1440,51.1,191,0,0,0,0,0,0,1,115
578,L47757,L,297.7,309.7,1591,37.7,196,0,0,0,0,0,0,2,115
579,L47758,L,297.8,309.8,1533,36.8,198,0,0,0,0,0,0,3,115
580,M15439,M,297.8,309.7,1700,31.3,200,0,0,0,0,0,0,4,115
581,M15440,M,297.8,309.8,1798,25.5,203,0,0,0,0,0,0,5,115
582,L47761,L,297.8,309.7,1394,42.9,206,0,0,0,0,0,0,6,115
583,L47762,L,297.8,309.7,1341,49.2,208,0,0,0,0,0,0,7,115
584,H29997,H,297.7,309.6,1697,32.2,210,0,0,0,0,0,0,8,115
585,H29998,H,297.6,309.6,1419,48.2,215,0,0,0,0,0,0,9,115
581,M15440,M,297.8,309.8,1798,25.5,203,0,0,0,0,0,0,0,116
582,L47761,L,297.8,309.7,1394,42.9,206,0,0,0,0,0,0,1,116
583,L47762,L,297.8,309.7,1341,49.2,208,0,0,0,0,0,0,2,116
584,H29997,H,297.7,309.6,1697,32.2,210,0,0,0,0,0,0,3,116
585,H29998,H,297.6,309.6,1419,48.2,215,0,0,0,0,0,0,4,116
586,L47765,L,297.6,309.5,2001,20.5,220,0,0,0,0,0,0,5,116
587,L47766,L,297.6,309.6,1501,49.8,222,1,0,0,0,1,0,6,116
588,H30001,H,297.6,309.5,1623,33.1,224,0,0,0,0,0,0,7,116
589,L47768,L,297.6,309.4,1628,33.4,229,0,0,0,0,0,0,8,116
590,L47769,L,297.6,309.4,1491,40.2,231,0,0,0,0,0,0,9,116
586,L47765,L,297.6,309.5,2001,20.5,220,0,0,0,0,0,0,0,117
587,L47766,L,297.6,309.6,1501,49.8,222,1,0,0,0,1,0,1,117
588,H30001,H,297.6,309.5,1623,33.1,224,0,0,0,0,0,0,2,117
589,L47768,L,297.6,309.4,1628,33.4,229,0,0,0,0,0,0,3,117
590,L47769,L,297.6,309.4,1491,40.2,231,0,0,0,0,0,0,4,117
591,L47770,L,297.5,309.4,1517,36.7,233,0,0,0,0,0,0,5,117
592,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0,6,117
593,H30006,H,297.5,309.5,1668,27.9,240,0,0,0,0,0,0,7,117
594,L47773,L,297.5,309.6,1312,50.7,0,0,0,0,0,0,0,8,117
595,H30008,H,297.6,309.6,1278,50.4,2,0,0,0,0,0,0,9,117
591,L47770,L,297.5,309.4,1517,36.7,233,0,0,0,0,0,0,0,118
592,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0,1,118
593,H30006,H,297.5,309.5,1668,27.9,240,0,0,0,0,0,0,2,118
594,L47773,L,297.5,309.6,1312,50.7,0,0,0,0,0,0,0,3,118
595,H30008,H,297.6,309.6,1278,50.4,2,0,0,0,0,0,0,4,118
596,M15455,M,297.6,309.6,1330,53.1,7,0,0,0,0,0,0,5,118
597,M15456,M,297.6,309.6,1530,37.3,10,0,0,0,0,0,0,6,118
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,7,118
599,L47778,L,297.7,309.6,1480,47.9,18,0,0,0,0,0,0,8,118
600,H30013,H,297.7,309.7,1616,31.1,20,0,0,0,0,0,0,9,118
596,M15455,M,297.6,309.6,1330,53.1,7,0,0,0,0,0,0,0,119
597,M15456,M,297.6,309.6,1530,37.3,10,0,0,0,0,0,0,1,119
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,2,119
599,L47778,L,297.7,309.6,1480,47.9,18,0,0,0,0,0,0,3,119
600,H30013,H,297.7,309.7,1616,31.1,20,0,0,0,0,0,0,4,119
601,L47780,L,297.8,309.7,1547,37.3,25,0,0,0,0,0,0,5,119
602,L47781,L,297.9,309.7,2194,16.8,27,0,0,0,0,0,0,6,119
603,L47782,L,297.9,309.8,2000,21.3,29,0,0,0,0,0,0,7,119
604,L47783,L,297.9,309.8,1336,71.6,31,1,0,0,1,0,0,8,119
605,L47784,L,297.9,309.9,1542,33.8,33,0,0,0,0,0,0,9,119
601,L47780,L,297.8,309.7,1547,37.3,25,0,0,0,0,0,0,0,120
602,L47781,L,297.9,309.7,2194,16.8,27,0,0,0,0,0,0,1,120
603,L47782,L,297.9,309.8,2000,21.3,29,0,0,0,0,0,0,2,120
604,L47783,L,297.9,309.8,1336,71.6,31,1,0,0,1,0,0,3,120
605,L47784,L,297.9,309.9,1542,33.8,33,0,0,0,0,0,0,4,120
606,M15465,M,297.9,309.8,1693,29.9,35,0,0,0,0,0,0,5,120
607,L47786,L,297.9,309.8,1461,50.5,38,0,0,0,0,0,0,6,120
608,M15467,M,298.0,309.9,1565,33.9,40,0,0,0,0,0,0,7,120
609,L47788,L,298.0,309.9,1403,47.7,43,0,0,0,0,0,0,8,120
610,L47789,L,298.1,309.9,1629,32.5,45,0,0,0,0,0,0,9,120
606,M15465,M,297.9,309.8,1693,29.9,35,0,0,0,0,0,0,0,121
607,L47786,L,297.9,309.8,1461,50.5,38,0,0,0,0,0,0,1,121
608,M15467,M,298.0,309.9,1565,33.9,40,0,0,0,0,0,0,2,121
609,L47788,L,298.0,309.9,1403,47.7,43,0,0,0,0,0,0,3,121
610,L47789,L,298.1,309.9,1629,32.5,45,0,0,0,0,0,0,4,121
611,L47790,L,298.1,310.0,1534,33.7,47,0,0,0,0,0,0,5,121
612,L47791,L,298.1,310.0,1553,40.9,49,0,0,0,0,0,0,6,121
613,L47792,L,298.1,309.9,1563,32.8,51,0,0,0,0,0,0,7,121
614,L47793,L,298.1,309.9,1634,30.0,53,0,0,0,0,0,0,8,121
615,M15474,M,298.0,309.9,1445,45.2,55,0,0,0,0,0,0,9,121
611,L47790,L,298.1,310.0,1534,33.7,47,0,0,0,0,0,0,0,122
612,L47791,L,298.1,310.0,1553,40.9,49,0,0,0,0,0,0,1,122
613,L47792,L,298.1,309.9,1563,32.8,51,0,0,0,0,0,0,2,122
614,L47793,L,298.1,309.9,1634,30.0,53,0,0,0,0,0,0,3,122
615,M15474,M,298.0,309.9,1445,45.2,55,0,0,0,0,0,0,4,122
616,L47795,L,298.1,309.9,1642,30.4,58,0,0,0,0,0,0,5,122
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0,6,122
618,M15477,M,298.1,310.0,1393,43.1,65,0,0,0,0,0,0,7,122
619,H30032,H,298.2,310.0,1433,44.2,68,0,0,0,0,0,0,8,122
620,L47799,L,298.3,310.0,1507,44.7,73,0,0,0,0,0,0,9,122
616,L47795,L,298.1,309.9,1642,30.4,58,0,0,0,0,0,0,0,123
617,H30030,H,298.1,309.9,1686,29.1,60,0,0,0,0,0,0,1,123
618,M15477,M,298.1,310.0,1393,43.1,65,0,0,0,0,0,0,2,123
619,H30032,H,298.2,310.0,1433,44.2,68,0,0,0,0,0,0,3,123
620,L47799,L,298.3,310.0,1507,44.7,73,0,0,0,0,0,0,4,123
621,M15480,M,298.3,310.1,1389,49.6,75,0,0,0,0,0,0,5,123
622,L47801,L,298.3,310.1,1408,45.3,78,0,0,0,0,0,0,6,123
623,M15482,M,298.4,310.2,1725,32.0,80,0,0,0,0,0,0,7,123
624,L47803,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0,8,123
625,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0,9,123
621,M15480,M,298.3,310.1,1389,49.6,75,0,0,0,0,0,0,0,124
622,L47801,L,298.3,310.1,1408,45.3,78,0,0,0,0,0,0,1,124
623,M15482,M,298.4,310.2,1725,32.0,80,0,0,0,0,0,0,2,124
624,L47803,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0,3,124
625,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0,4,124
626,L47805,L,298.3,310.1,1545,36.3,90,0,0,0,0,0,0,5,124
627,L47806,L,298.4,310.1,1533,35.2,92,0,0,0,0,0,0,6,124
628,L47807,L,298.4,310.1,1455,42.2,94,0,0,0,0,0,0,7,124
629,M15488,M,298.4,310.1,1335,57.8,96,0,0,0,0,0,0,8,124
630,L47809,L,298.3,310.1,1523,45.9,99,0,0,0,0,0,0,9,124
626,L47805,L,298.3,310.1,1545,36.3,90,0,0,0,0,0,0,0,125
627,L47806,L,298.4,310.1,1533,35.2,92,0,0,0,0,0,0,1,125
628,L47807,L,298.4,310.1,1455,42.2,94,0,0,0,0,0,0,2,125
629,M15488,M,298.4,310.1,1335,57.8,96,0,0,0,0,0,0,3,125
630,L47809,L,298.3,310.1,1523,45.9,99,0,0,0,0,0,0,4,125
631,L47810,L,298.3,310.0,1460,47.6,101,0,0,0,0,0,0,5,125
632,L47811,L,298.4,310.0,1554,37.3,103,0,0,0,0,0,0,6,125
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,7,125
634,L47813,L,298.3,310.0,1442,43.9,110,0,0,0,0,0,0,8,125
635,L47814,L,298.3,309.9,1507,41.6,112,0,0,0,0,0,0,9,125
631,L47810,L,298.3,310.0,1460,47.6,101,0,0,0,0,0,0,0,126
632,L47811,L,298.4,310.0,1554,37.3,103,0,0,0,0,0,0,1,126
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,2,126
634,L47813,L,298.3,310.0,1442,43.9,110,0,0,0,0,0,0,3,126
635,L47814,L,298.3,309.9,1507,41.6,112,0,0,0,0,0,0,4,126
636,L47815,L,298.3,310.0,1858,23.9,114,0,0,0,0,0,0,5,126
637,L47816,L,298.3,309.9,1463,43.9,116,0,0,0,0,0,0,6,126
638,L47817,L,298.2,309.7,1585,37.4,118,0,0,0,0,0,0,7,126
639,L47818,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0,8,126
640,L47819,L,298.0,309.6,1403,51.3,122,0,0,0,0,0,0,9,126
636,L47815,L,298.3,310.0,1858,23.9,114,0,0,0,0,0,0,0,127
637,L47816,L,298.3,309.9,1463,43.9,116,0,0,0,0,0,0,1,127
638,L47817,L,298.2,309.7,1585,37.4,118,0,0,0,0,0,0,2,127
639,L47818,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0,3,127
640,L47819,L,298.0,309.6,1403,51.3,122,0,0,0,0,0,0,4,127
641,M15500,M,297.9,309.6,1515,38.8,124,0,0,0,0,0,0,5,127
642,L47821,L,297.9,309.5,1390,47.9,127,0,0,0,0,0,0,6,127
643,M15502,M,297.8,309.4,1226,58.7,129,0,0,0,0,0,0,7,127
644,M15503,M,297.8,309.4,1495,36.5,132,0,0,0,0,0,0,8,127
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0,9,127
641,M15500,M,297.9,309.6,1515,38.8,124,0,0,0,0,0,0,0,128
642,L47821,L,297.9,309.5,1390,47.9,127,0,0,0,0,0,0,1,128
643,M15502,M,297.8,309.4,1226,58.7,129,0,0,0,0,0,0,2,128
644,M15503,M,297.8,309.4,1495,36.5,132,0,0,0,0,0,0,3,128
645,H30058,H,297.7,309.4,1608,30.2,135,0,0,0,0,0,0,4,128
646,L47825,L,297.7,309.4,1392,44.1,140,0,0,0,0,0,0,5,128
647,M15506,M,297.7,309.4,1461,43.7,142,0,0,0,0,0,0,6,128
648,L47827,L,297.7,309.3,1559,36.9,145,0,0,0,0,0,0,7,128
649,H30062,H,297.7,309.3,1400,48.9,147,0,0,0,0,0,0,8,128
650,M15509,M,297.7,309.2,1732,28.8,152,0,0,0,0,0,0,9,128
646,L47825,L,297.7,309.4,1392,44.1,140,0,0,0,0,0,0,0,129
647,M15506,M,297.7,309.4,1461,43.7,142,0,0,0,0,0,0,1,129
648,L47827,L,297.7,309.3,1559,36.9,145,0,0,0,0,0,0,2,129
649,H30062,H,297.7,309.3,1400,48.9,147,0,0,0,0,0,0,3,129
650,M15509,M,297.7,309.2,1732,28.8,152,0,0,0,0,0,0,4,129
651,L47830,L,297.6,309.2,1611,33.1,155,0,0,0,0,0,0,5,129
652,L47831,L,297.6,309.1,1503,38.9,157,0,0,0,0,0,0,6,129
653,L47832,L,297.7,309.2,1391,44.5,159,0,0,0,0,0,0,7,129
654,L47833,L,297.8,309.3,2015,20.1,161,0,0,0,0,0,0,8,129
655,L47834,L,297.8,309.2,1683,30.9,163,0,0,0,0,0,0,9,129
651,L47830,L,297.6,309.2,1611,33.1,155,0,0,0,0,0,0,0,130
652,L47831,L,297.6,309.1,1503,38.9,157,0,0,0,0,0,0,1,130
653,L47832,L,297.7,309.2,1391,44.5,159,0,0,0,0,0,0,2,130
654,L47833,L,297.8,309.3,2015,20.1,161,0,0,0,0,0,0,3,130
655,L47834,L,297.8,309.2,1683,30.9,163,0,0,0,0,0,0,4,130
656,L47835,L,297.7,309.1,1435,38.8,165,0,0,0,0,0,0,5,130
657,M15516,M,297.7,309.1,1732,28.1,167,0,0,0,0,0,0,6,130
658,L47837,L,297.7,309.2,1365,58.6,170,0,0,0,0,0,0,7,130
659,L47838,L,297.7,309.1,1562,36.8,172,0,0,0,0,0,0,8,130
660,L47839,L,297.6,309.1,1449,49.1,174,0,0,0,0,0,0,9,130
656,L47835,L,297.7,309.1,1435,38.8,165,0,0,0,0,0,0,0,131
657,M15516,M,297.7,309.1,1732,28.1,167,0,0,0,0,0,0,1,131
658,L47837,L,297.7,309.2,1365,58.6,170,0,0,0,0,0,0,2,131
659,L47838,L,297.7,309.1,1562,36.8,172,0,0,0,0,0,0,3,131
660,L47839,L,297.6,309.1,1449,49.1,174,0,0,0,0,0,0,4,131
661,M15520,M,297.7,309.2,1700,27.4,176,0,0,0,0,0,0,5,131
662,M15521,M,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,6,131
663,M15522,M,297.6,308.9,1479,38.1,182,0,0,0,0,0,0,7,131
664,L47843,L,297.5,308.9,1469,44.0,185,0,0,0,0,0,0,8,131
665,L47844,L,297.5,308.9,1390,47.4,187,0,0,0,0,0,0,9,131
661,M15520,M,297.7,309.2,1700,27.4,176,0,0,0,0,0,0,0,132
662,M15521,M,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,1,132
663,M15522,M,297.6,308.9,1479,38.1,182,0,0,0,0,0,0,2,132
664,L47843,L,297.5,308.9,1469,44.0,185,0,0,0,0,0,0,3,132
665,L47844,L,297.5,308.9,1390,47.4,187,0,0,0,0,0,0,4,132
666,L47845,L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0,5,132
667,L47846,L,297.5,309.0,1470,43.5,191,0,0,0,0,0,0,6,132
668,L47847,L,297.5,308.9,1459,48.5,193,0,0,0,0,0,0,7,132
669,L47848,L,297.5,308.9,1738,24.0,195,0,0,0,0,0,0,8,132
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,9,132
666,L47845,L,297.5,308.9,1729,28.1,189,0,0,0,0,0,0,0,133
